,YEAR,RANKING,Country,HAPPINESS SCORE,HAPPINESS SCORE MIN-MAX NORMALIZATION,GDP PER CAPITA (Billions),GDP PER CAPITA (Billions) MIN-MAX NORMALIZATION,SOCIAL SUPPORT,SOCIAL SUPPORT MIN-MAX NORMALIZATION,HEALTHY LIFE EXPECTANCY,HEALTHY LIFE EXPECTANCY MIN-MAX NORMALIZATION,FREEDOM TO MAKE LIFE CHOICES,FREEDOM TO MAKE LIFE CHOICES MIN-MAX NORMALIZATION,GENEROSITY,GENEROSITY MIN-MAX NORMALIZATION,PERCEPTION OF CORRUPTION,PERCEPTION OF CORRUPTION MIN-MAX NORMALIZATION
,2015,134,Bulgaria,4.22,0.00,5.99,0.14,0.79,1.00,66.00,0.08,0.46,0.24,0.15,0.00,0.98,1.00
,2016,129,Bulgaria,4.22,0.00,9.98,1.00,0.78,0.98,71.00,0.46,0.35,0.00,0.16,0.02,0.01,0.00
,2017,109,Albania,4.64,0.39,5.33,0.00,0.50,0.03,68.00,0.23,0.58,0.51,0.24,0.27,0.09,0.08
,2018,112,Albania,4.59,0.34,5.55,0.05,0.56,0.22,70.00,0.38,0.58,0.51,0.25,0.29,0.07,0.06
,2019,107,Albania,4.72,0.46,5.62,0.06,0.52,0.11,74.00,0.69,0.61,0.57,0.31,0.48,0.06,0.05
,2020,105,Albania,4.88,0.61,5.90,0.12,0.54,0.16,69.00,0.31,0.67,0.71,0.30,0.44,0.95,0.97
,2021,94,North Macedonia,5.10,0.81,6.10,0.17,0.66,0.56,65.00,0.00,0.63,0.62,0.39,0.71,0.96,0.98
,2022,90,Albania,5.20,0.90,6.51,0.25,0.49,0.00,78.00,1.00,0.69,0.76,0.30,0.43,0.05,0.04
,2023,87,North Macedonia,5.25,0.95,6.81,0.32,0.72,0.78,67.00,0.15,0.67,0.71,0.49,1.00,0.97,0.98
,2024,86,Albania,5.30,1.00,6.72,0.30,0.57,0.27,74.00,0.69,0.80,1.00,0.34,0.57,0.09,0.08
